Descrizione,Shortcode,Icon
Sole,:sunny:,☀
Parzialmente nuvoloso,:partly_sunny:,⛅
Nuvoloso,:cloud:,☁
Temporale,:zap:,⚡
Pioggia,:umbrella:,☔
Neve,:snowflake:,❄
Indietro,:back:,🔙
Freccia in basso,:arrow_down:,⬇
Triangolo con punta in basso,:arrow_down_small:,🔽
Ufficio postale europeo,:european_post_office:,🏤
Icona info,:information_source:,ℹ
Linea ondulata,:wavy_dash:,〰
Freccia destra,:arrow_right:,➡
Lente,:mag:,🔍
Lente destra,:mag_right:,🔎
1,:one:,1⃣
2,:two:,2⃣
3,:three:,3⃣
4,:four:,	4⃣
5,:five:,5⃣
